,date,url,entropy,mean_intensity,standard_deviation,skewness,kurtosis,relative_smoothness,uniformity,fractal_dimension,taruma_contrast,taruma_directionality,taruma_coarseness,taruma_linelikeness,taruma_regularity,taruma_roughness
0,2023-01-01 01:13:00,https://soho.nascom.nasa.gov/data/REPROCESSING/Completed/2023/eit195/20230101/20230101_0113_eit195_1024.jpg,5.895714002677742,44.27213096618652,44.96244452267389,1.2705190852520658,5.2241426441311,0.9995055921037074,0.09012854551838245,1.3183206643376526,1337.199092704475,0.9882227796676593,26.241734504699707,1.3266364462033204,30.66885207268846,0.32550421904229443
1,2023-01-01 13:13:00,https://soho.nascom.nasa.gov/data/REPROCESSING/Completed/2023/eit195/20230101/20230101_1313_eit195_1024.jpg,5.871364070862655,44.154725074768066,44.64390065662037,1.2261842661343072,5.1195387474915925,0.9994985150694806,0.09285537389223464,1.3112356720658374,1325.002072353323,0.9884989104349309,26.238060474395752,1.3178447034625353,30.233240236502212,0.3246810187350634
2,2023-01-02 01:13:00,https://soho.nascom.nasa.gov/data/REPROCESSING/Completed/2023/eit195/20230102/20230102_0113_eit195_1024.jpg,5.786831813683689,43.85751914978027,44.00084831846208,1.0981953089995289,4.641993663152201,0.9994837576349558,0.10044858482069685,1.3161906061062498,1319.0035467860719,0.9891821666945771,26.126994132995605,1.2967186567493114,30.479163092662652,0.32477296193801686
3,2023-01-02 13:13:00,https://soho.nascom.nasa.gov/data/REPROCESSING/Completed/2023/eit195/20230102/20230102_1313_eit195_1024.jpg,5.794061023257324,43.69234657287598,43.499303413379195,1.0720801613791755,4.576270588411062,0.9994717908301476,0.09907739159280027,1.3128485607709677,1293.709242141579,0.9890832444305067,26.261289596557617,1.2996019563490253,30.05693054765561,0.32390206031872043
4,2023-01-03 01:13:00,https://soho.nascom.nasa.gov/data/REPROCESSING/Completed/2023/eit195/20230103/20230103_0113_eit195_1024.jpg,5.804059134378517,44.195916175842285,43.728648696129206,1.0155558117098653,4.351632269152444,0.9994773140489965,0.09887144543063187,1.3138472585417196,1323.942326495783,0.9890645945234473,26.272098064422607,1.3014611847748663,30.293776062054175,0.324169844150648
5,2023-01-03 13:13:00,https://soho.nascom.nasa.gov/data/REPROCESSING/Completed/2023/eit195/20230103/20230103_1313_eit195_1024.jpg,5.7095547345725395,43.34375286102295,43.854601635969225,1.0681066921754176,4.562168825092079,0.9994803105477171,0.10759795627927815,1.3293638380501027,1315.9442857073288,0.9897653333618207,25.889389991760254,1.276991050326731,29.93598167755977,0.3237455206293701
6,2023-01-04 01:13:00,https://soho.nascom.nasa.gov/data/REPROCESSING/Completed/2023/eit195/20230104/20230104_0113_eit195_1024.jpg,5.763417160063486,44.724045753479004,44.29294477683512,0.9869139548769612,4.2620149080163765,0.9994905406016691,0.10285825345272315,1.3249678536005007,1365.4171981784107,0.9893623045801295,26.293866634368896,1.2902465312767177,30.51265494843392,0.32326449725714496
7,2023-01-04 13:13:00,https://soho.nascom.nasa.gov/data/REPROCESSING/Completed/2023/eit195/20230104/20230104_1313_eit195_1024.jpg,5.801532799901463,45.22706985473633,44.46287834201253,0.9882361246807163,4.332267872631624,0.9994944254210537,0.09907740466951509,1.3256673896056828,1370.302095529808,0.9891254370424386,26.474612712860107,1.3026009182260985,30.40322986779396,0.3232754634312743
8,2023-01-05 01:13:00,https://soho.nascom.nasa.gov/data/REPROCESSING/Completed/2023/eit195/20230105/20230105_0113_eit195_1024.jpg,5.804955630952223,45.86735439300537,44.80860900431877,0.9647660359064685,4.278669822382312,0.9995021931976099,0.09909668342697842,1.3175401363741723,1396.0331499705626,0.9891049375715744,26.500603675842285,1.3034638120935755,30.553667320451847,0.3250263636845172
9,2023-01-05 13:13:00,https://soho.nascom.nasa.gov/data/REPROCESSING/Completed/2023/eit195/20230105/20230105_1313_eit195_1024.jpg,5.80116001827507,45.817437171936035,44.682968750914135,0.9568898365103082,4.30508034601827,0.9994993911836857,0.09916751912351174,1.3233610984309272,1386.0813653466723,0.9890443525521588,26.444992065429688,1.303347943458414,30.20504536600196,0.32370183145850107
10,2023-01-06 01:13:00,https://soho.nascom.nasa.gov/data/REPROCESSING/Completed/2023/eit195/20230106/20230106_0113_eit195_1024.jpg,5.828013064697418,46.526679039001465,45.27354008164334,0.9667581253423455,4.387471542927008,0.9995123600706827,0.09744346786828828,1.3167486522909122,1416.2350264957759,0.988927898068132,26.42787456512451,1.305392379734933,31.001824213363285,0.32326803030817086
11,2023-01-06 13:13:00,https://soho.nascom.nasa.gov/data/REPROCESSING/Completed/2023/eit195/20230106/20230106_1313_eit195_1024.jpg,5.825025594181291,46.31956386566162,45.376248968321434,0.9577783805914787,4.278452626361522,0.9995145640424233,0.09876693326259556,1.3253334712358544,1431.6455318802832,0.9889665754689639,26.203163146972656,1.30253904282955,30.71936505719484,0.32314164259650036
12,2023-01-07 01:13:00,https://soho.nascom.nasa.gov/data/REPROCESSING/Completed/2023/eit195/20230107/20230107_0113_eit195_1024.jpg,5.847342252647748,46.155019760131836,45.68331849901788,1.025725758779692,4.4855888300468525,0.9995210649039291,0.09743932898527419,1.3230794159878834,1434.037218016658,0.9888921663398884,26.182010173797607,1.3049523593100048,30.722344763632286,0.32373384753973206
